run_id;task_id;task_label;model;model_size;quality;latency_s;energy_wh;co2_g
1;1;Who is the current UN Secretary-General?;LLaMA 3.1 8B;Small;5;3;0,05;0,03
2;1;Who is the current UN Secretary-General?;Gemma 8B;Small;5;8;0,22;0,14
3;1;Who is the current UN Secretary-General?;Mistral Small;Medium;5;6;0,81;0,5
4;1;Who is the current UN Secretary-General?;GPT-OSS 20B;Medium;5;6;0,65;0,4
5;1;Who is the current UN Secretary-General?;GPT-5;Large;5;44;9;5
6;1;Who is the current UN Secretary-General?;DeepSeek R1;Large;5;47;24;15
7;2;Summarise a 150-word news article in one sentence.;LLaMA 3.1 8B;Small;3;3;0,46;0,28
8;2;Summarise a 150-word news article in one sentence.;Gemma 8B;Small;2;4;0,37;0,23
9;2;Summarise a 150-word news article in one sentence.;Mistral Small;Medium;2;3,33;0,32;0,2
10;2;Summarise a 150-word news article in one sentence.;GPT-OSS 20B;Medium;4;3,85;0,87;0,54
11;2;Summarise a 150-word news article in one sentence.;GPT-5;Large;5;33;3;2
12;2;Summarise a 150-word news article in one sentence.;DeepSeek R1;Large;5;25;29;18
13;3;Translate a paragraph about climate change into French.;LLaMA 3.1 8B;Small;4;11;1,23;0,76
14;3;Translate a paragraph about climate change into French.;Gemma 8B;Small;4;10;1,11;0,68
15;3;Translate a paragraph about climate change into French.;Mistral Small;Medium;4;6;2;1,41
16;3;Translate a paragraph about climate change into French.;GPT-OSS 20B;Medium;5;9;4;2
17;3;Translate a paragraph about climate change into French.;GPT-5;Large;5;32;49;30
18;3;Translate a paragraph about climate change into French.;DeepSeek R1;Large;5;26;41;25
19;4;Classify sentiment of 3 tweets (positive/negative).;LLaMA 3.1 8B;Small;2;6;0,75;0,46
20;4;Classify sentiment of 3 tweets (positive/negative).;Gemma 8B;Small;2;6;0,7;0,43
21;4;Classify sentiment of 3 tweets (positive/negative).;Mistral Small;Medium;3;8;1,25;0,77
22;4;Classify sentiment of 3 tweets (positive/negative).;GPT-OSS 20B;Medium;3;6;1;0,62
23;4;Classify sentiment of 3 tweets (positive/negative).;GPT-5;Large;4;16;16;10
24;4;Classify sentiment of 3 tweets (positive/negative).;DeepSeek R1;Large;4;16;41;25
25;5;Extract email & phone number from a text.;LLaMA 3.1 8B;Small;5;2;0,1;0,06
